"Town","Percent Population below Poverty Level","90% MoE"
"Stonington",0.0463957055214724,0.0146520510374936
"Voluntown",0.0230061349693252,0.0145746327890412
"Waterford",0.0542639727105747,0.0143275525084277
"Andover",0.0432956381260097,0.040503341297435
"Bolton",0.0191185349164822,0.0145967837192923
"Columbia",0.0400512070226774,0.0210503258005649
"Coventry",0.0309378021269739,0.0164702665672094
"Ellington",0.0191387559808612,0.0110321738155463
"Hebron",0.0128817785165178,0.00723463992931278
"Mansfield",0.175904486251809,0.0334489668985514
"Somers",0.0431347426863122,0.0182152722970197
"Stafford",0.0949654824044452,0.0264430148814017
"Tolland",0.0207507890672218,0.0107033494116973
"Union",0.00780487804878049,0.014028248079679
"Vernon",0.0926819112391131,0.0203534226939719
"Willington",0.123462944499834,0.0544545256796318
"Ashford",0.0546179090482888,0.0313373298648353
"Brooklyn",0.106255689946677,0.0476009284501226
"Canterbury",0.0310607540535261,0.0223730444876238
"Chaplin",0.0461022632020117,0.0329441210116311
"Eastford",0.0299328039095907,0.0176000516498676
"Hampton",0.0638179800221976,0.033242146262449
"Killingly",0.112609179905035,0.027600685625733
"Plainfield",0.0972926684671629,0.0313425869520519
"Pomfret",0.0291191458383887,0.0246295825526868
"Putnam",0.11240812797233,0.0337752469114235
"Scotland",0.019551466359977,0.0145858718143045
"Sterling",0.115115653577192,0.0660463033505502
"Thompson",0.0759047720721683,0.0331369495134594
"Windham",0.247444499482145,0.0365819104153405
"Woodstock",0.0298130368873168,0.0168937557745295
