"Town","Total Population","MoE Total Population","Ages 0-17","MoE Ages 0-17","Pct Ages 0-17","MoE Pct Ages 0-17","Ages 65+","MoE Ages 65+","Pct Ages 65+","MoE Pct Ages 65+","Hispanic Population","MoE Hispanic Population","Pct Hispanic","MoE Pct Hispanic","White Population","MoE White Population","Pct White","MoE Pct White","Black Population","MoE Black Population","Pct Black","MoE Pct Black","Other Race Population","MoE Other Race Population","Pct Other Race","MoE Pct Other Race","Homeowners","MoE Homeowners","Homeownership Rate","MoE Homeownership Rate","Foreign-born Population","MoE Foreign-born Population","Pct Foreign-born","MoE Pct Foreign-born","Poverty Status Determined","MoE Poverty Status Determined","Population in Poverty","MoE Population in Poverty","Poverty Rate","MoE Poverty Rate","Population Low Income","MoE Population Low Income","Pct Low Income","MoE Pct Low Income","Ages 0-17 In Poverty","MoE Ages 0-17 In Poverty","Pct Ages 0-17 in Poverty","MoE Pct Ages 0-17 in Poverty","Ages 0-17 Income 1-2x Poverty","MoE Ages 0-17 Income 1-2x Poverty","Pct Ages 0-17 Income 1-2x Poverty","MoE Pct Ages 0-17 Income 1-2x Poverty","Ages 65+ In Poverty","MoE Ages 65+ In Poverty","Pct Ages 65+ in Poverty","MoE Pct Ages 65+ in Poverty","Ages 65+ Income 1-2x Poverty","MoE Ages 65+ Income 1-2x Poverty","Pct Ages 65+ Income 1-2x Poverty","MoE Pct Ages 65+ Income 1-2x Poverty"
"Simsbury",23591,31,6352,440,0.269,0.019,3463,278,0.147,0.012,914,400,0.039,0.017,21082,473,0.894,0.02,363,155,0.015,0.007,1232,299,0.052,0.013,7561,206,0.868,0.016,1908,325,0.081,0.014,23339,107,448,145,0.019,0.006,1365,419,0.058,0.018,33,60,0.005,0.009,474,226,0.075,0.036,82,62,0.025,0.019,283,129,0.086,0.04
"Southington",43288,25,9324,545,0.215,0.013,7972,505,0.184,0.012,1426,338,0.033,0.008,40022,607,0.925,0.014,524,214,0.012,0.005,1316,438,0.03,0.01,14218,397,0.834,0.016,3152,445,0.073,0.01,42805,204,1832,416,0.043,0.01,3469,566,0.081,0.013,506,197,0.055,0.022,734,208,0.079,0.023,286,124,0.037,0.016,1314,244,0.17,0.033
"South Windsor",25756,29,6369,569,0.247,0.022,3875,381,0.15,0.015,1590,615,0.062,0.024,19671,878,0.764,0.034,1599,529,0.062,0.021,2896,558,0.112,0.022,8266,268,0.887,0.015,3862,559,0.15,0.022,25518,156,1140,685,0.045,0.027,1491,607,0.058,0.024,418,312,0.067,0.051,467,259,0.075,0.042,196,73,0.051,0.02,397,131,0.104,0.036
"Suffield",15731,24,3205,377,0.204,0.024,2247,254,0.143,0.016,961,189,0.061,0.012,12809,414,0.814,0.026,1454,359,0.092,0.023,507,196,0.032,0.012,4178,199,0.854,0.027,975,245,0.062,0.016,13114,283,551,381,0.042,0.029,749,276,0.057,0.021,174,183,0.055,0.058,180,122,0.057,0.039,36,53,0.017,0.025,214,98,0.103,0.049
"West Hartford",63340,41,14162,688,0.224,0.011,10999,542,0.174,0.009,6009,519,0.095,0.008,47765,913,0.754,0.014,4071,721,0.064,0.011,5495,620,0.087,0.01,18089,479,0.726,0.015,11413,832,0.18,0.013,61493,288,4513,701,0.073,0.011,6188,849,0.101,0.014,1063,276,0.076,0.02,1439,324,0.102,0.023,912,205,0.09,0.021,1382,236,0.136,0.024
"Wethersfield",26590,86,5630,466,0.212,0.018,5514,426,0.207,0.016,2245,471,0.084,0.018,22402,679,0.842,0.026,648,265,0.024,0.01,1295,389,0.049,0.015,8658,335,0.797,0.023,3731,465,0.14,0.018,26450,126,1537,393,0.058,0.015,2369,468,0.09,0.018,307,119,0.055,0.022,500,190,0.089,0.035,377,145,0.07,0.027,959,194,0.177,0.038
"Windsor",29100,34,6462,537,0.222,0.018,4492,372,0.154,0.013,2651,439,0.091,0.015,14110,542,0.485,0.019,10454,692,0.359,0.024,1885,434,0.065,0.015,8661,315,0.81,0.019,4511,591,0.155,0.02,28588,184,1524,443,0.053,0.016,2579,553,0.09,0.019,482,155,0.075,0.025,811,218,0.126,0.035,216,100,0.052,0.024,569,147,0.136,0.037
"Windsor Locks",12531,24,2385,308,0.19,0.025,1944,250,0.155,0.02,617,270,0.049,0.022,10181,481,0.812,0.038,561,328,0.045,0.026,1172,370,0.094,0.03,4275,274,0.824,0.026,1004,257,0.08,0.02,12477,38,983,353,0.079,0.028,1188,331,0.095,0.026,259,118,0.109,0.052,233,132,0.098,0.057,149,71,0.078,0.039,436,161,0.228,0.09
"Barkhamsted",3772,18,890,178,0.236,0.047,474,98,0.126,0.026,30,35,0.008,0.009,3710,48,0.984,0.014,1,4,0,0.001,31,36,0.008,0.01,1329,118,0.924,0.03,88,51,0.023,0.014,3738,46,43,30,0.012,0.008,89,60,0.024,0.016,0,36,0,0.042,15,51,0.018,0.06,7,30,0.015,0.063,37,50,0.078,0.107
"Bethlehem",3585,18,678,150,0.189,0.042,606,135,0.169,0.038,25,31,0.007,0.009,3528,52,0.984,0.015,19,35,0.005,0.01,13,32,0.004,0.009,1161,114,0.841,0.054,181,123,0.05,0.034,3536,44,168,80,0.048,0.023,422,233,0.119,0.066,0,36,0,0.056,171,115,0.268,0.194,54,40,0.089,0.07,69,52,0.114,0.089
"Bridgewater",1729,110,331,71,0.191,0.043,393,55,0.227,0.035,83,73,0.048,0.042,1590,94,0.92,0.08,12,11,0.007,0.006,44,29,0.025,0.017,679,44,0.883,0.034,117,35,0.068,0.021,1729,110,42,24,0.024,0.014,257,108,0.149,0.062,0,36,0,0.109,101,71,0.305,0.227,7,28,0.018,0.072,52,36,0.132,0.093
"Canaan",1148,108,178,42,0.155,0.039,220,41,0.192,0.04,21,22,0.018,0.019,1122,104,0.977,0.129,0,12,0,0.01,5,22,0.004,0.019,391,40,0.667,0.038,39,18,0.034,0.016,1142,108,81,33,0.071,0.028,178,70,0.156,0.059,12,34,0.07,0.2,17,43,0.099,0.249,9,25,0.041,0.114,60,32,0.273,0.155
